time_sec,azimuth,elevation,realaz
2025-09-01 09:03:20,128.08,44.77,-15.905000000000001
2025-09-01 09:03:25,126.49,44.55,-17.49500000000002
2025-09-01 09:03:30,124.05,43.16,-19.935000000000016
2025-09-01 09:03:35,124.63,40.96,-19.355000000000018
2025-09-01 09:03:40,121.18,41.71,-22.805000000000007
2025-09-01 09:03:45,117.61,42.56,-26.375000000000014
2025-09-01 09:03:50,115.3,41.69,-28.685000000000016
2025-09-01 09:03:55,118.85,41.5,-25.13500000000002
2025-09-01 09:04:00,118.16,43.15,-25.825000000000017
2025-09-01 09:04:05,120.01,45.41,-23.97500000000001
2025-09-01 09:04:10,125.5,45.05,-18.485000000000014
2025-09-01 09:04:15,125.65,42.58,-18.335000000000008
2025-09-01 09:04:20,123.03,45.54,-20.955000000000013
2025-09-01 09:04:25,120.36,44.56,-23.625000000000014
2025-09-01 09:04:30,123.05,41.92,-20.935000000000016
2025-09-01 09:04:35,124.1,40.19,-19.88500000000002
2025-09-01 09:04:40,132.19,39.54,-11.795000000000016
2025-09-01 09:04:45,130.71,43.6,-13.275000000000006
2025-09-01 09:04:50,130.23,44.45,-13.755000000000024
2025-09-01 09:04:55,125.76,48.15,-18.22500000000001
2025-09-01 09:05:00,125.95,46.31,-18.03500000000001
2025-09-01 09:05:05,122.15,47.77,-21.835000000000008
2025-09-01 09:05:10,121.74,48.26,-22.24500000000002
2025-09-01 09:05:15,113.25,47.16,-30.735000000000014
2025-09-01 09:05:20,109.92,47.17,-34.06500000000001
2025-09-01 09:05:25,113.18,45.55,-30.805000000000007
2025-09-01 09:05:30,119.27,45.19,-24.715000000000018
2025-09-01 09:05:35,118.71,45.11,-25.27500000000002
2025-09-01 09:05:40,110.89,45.89,-33.09500000000001
2025-09-01 09:05:45,110.09,46.09,-33.89500000000001
2025-09-01 09:05:50,106.08,48.78,-37.905000000000015
2025-09-01 09:05:55,107.83,47.88,-36.155000000000015
2025-09-01 09:06:00,114.44,51.43,-29.545000000000016
2025-09-01 09:06:05,124.2,48.71,-19.78500000000001
2025-09-01 09:06:10,127.28,48.07,-16.705000000000013
2025-09-01 09:06:15,124.35,43.53,-19.63500000000002
2025-09-01 09:06:20,126.19,39.04,-17.795000000000016
2025-09-01 09:06:25,125.89,38.36,-18.095000000000013
2025-09-01 09:06:30,127.82,40.72,-16.16500000000002
